codigo_estacion,nombre,latitud,longitud
08130003,Fundo Atacalco,-36.9175,-71.5814
08130004,Las Trancas,-36.9108,-71.4792
08130006,Diguillin,-36.8686,-71.6425
08132002,Pemuco,-36.9764,-72.1008
08133003,Chillancito,-36.7622,-72.4239
08135003,Nueva Aldea,-36.6544,-72.4561
08135004,Cancha Los Litres,-36.7078,-72.5794
08140001,Rafael,-36.6364,-72.8489
08140005,Portezuelo,-36.5275,-72.4283
08141001,Rio Itata En Coelemu,-36.4669,-72.6911
08141002,Coelemu,-36.475,-72.6883
08142001,Mangarral,-36.2353,-72.3428
08210002,Dichato,-36.5456,-72.9311
08210003,Estero Bellavista En Tom,-36.6394,-72.9503
08220005,Las Pataguas,-36.7925,-72.8922
08220006,Andalien,-36.8131,-72.9392
08220008,Estero Nonguen Frente U. Del Bio Bio,-36.8203,-73.0164
08301001,Liucura,-38.6517,-71.0919
08304004,Lonquimay,-38.4536,-71.3742
08307002,Rio Bio-Bio En Llanquen,-38.2008,-71.2989
08312002,Embalse Ralco,-38.0583,-71.4344
08313002,Embalse Pangue,-37.9183,-71.5961
08316001,Quillaileo,-37.6511,-71.7136
08316002,Rio Huequecura Aguas Arriba De Embalse Angostura,-37.7047,-71.7683
08317001,Rio Biobio En Rucalhue,-37.7106,-71.9017
08317003,Cerro El Padre,-37.7797,-71.8664
08317004,Rio Biobio En La Culebra,-37.7964,-71.6989
08317005,Rio Biobio En Puente Piulo,-37.7092,-71.8236
08318002,Quilaco,-37.685,-72.0058
08319001,Rio Biobio En Longitudinal,-37.6019,-72.2783
08319002,San Carlos De Puren,-37.5953,-72.2769
08320001,San Lorenzo En Bio-Bio,-37.5081,-71.7656
08323001,Rio Duqueco En Cerrillos,-37.5422,-72.3119
08330002,Pilguen,-37.8306,-72.2197
08332002,Mulchen,-37.7147,-72.2436
08334001,Rio Biobio En Coihue,-37.5503,-72.5903
08334002,Los Angeles,-37.5022,-72.4083
08343001,Rio Mininco En Longitudinal,-37.8636,-72.3942
08343002,Encimar Malleco,-38.1053,-72.1136
08350002,Laguna Malleco,-38.2156,-71.8106
08351001,Rio Malleco En Collipulli,-37.9647,-72.4361
08353001,Ercilla (Vida Nueva),-38.0442,-72.4611
08358002,Angol (La Mona),-37.7794,-72.6372
08358004,Poco A Poco,-37.88,-71.9867
08358005,Parque Nahuelbuta,-37.8233,-72.9606
08364001,Las Achiras,-37.3806,-72.3661
08366002,Estero Quilque En Los Angeles,-37.4561,-72.3272
08367001,Laja,-37.2772,-72.7164
08381003,Rio Laja Ag.Arr. Del Salto (Rec.R.Laja),-37.2119,-72.3242
08393002,Estero Hualqui En Desembocadura,-36.9825,-72.9414
08394001,Rio Biobio En Desembocadura,-36.8386,-73.0619
08410001,Concepcion Dga.,-36.8333,-73.1
08520000,Caranpangue,-37.2553,-73.2431
08700001,Curanilahue,-37.485,-73.3317
08700002,Rio Curanilahue En Curanilahue,-37.4833,-73.3369
08700003,Estero Plegarias Antes De Jta Rio Curanilahue,-37.4878,-73.3442
08821005,Caete,-37.7983,-73.3914
08821006,Rio Leiva En Puente Camino A Contulmo,-37.8131,-73.3922
08822008,Contulmo,-38.0186,-73.23
08930000,Tirua,-38.3433,-73.4922
09101001,Rio Puren En Tranaman,-38.0333,-73.0167
09101003,Tranaman,-38.0214,-73.0067
09102003,Lumaco,-38.1636,-72.9039
09104003,Las Mercedes (Victoria),-38.2461,-72.2289
09105002,Traiguen,-38.2561,-72.6536
09111002,Quillen,-38.4642,-72.3867
09112000,Perquenco,-38.4211,-72.3775
09113003,Galvarino,-38.4133,-72.7772
09114001,La Cabaa,-38.4942,-73.2408
09116001,Rio Cholchol En Cholchol,-38.6081,-72.8478
09120003,Malalcahuello,-38.4703,-71.5753
09122001,Curacautin,-38.4475,-71.8961
09123001,Rio Cautin En Rari-Ruca,-38.4303,-72.0106
09123002,Rari-Ruca,-38.425,-72.0106
09124001,Lautaro,-38.5186,-72.4522
09129002,Rio Cautin En Cajon,-38.6867,-72.5028
09129005,Pueblo Nuevo (Temuco),-38.7128,-72.5558
09129006,Temuco Centro,-38.7425,-72.59
09130001,Cherquenco,-38.6839,-72
09131002,Vilcun,-38.6672,-72.2339
09135003,Freire Sendos,-38.9592,-72.6083
09140001,Rio Cautin En Almagro,-38.78,-72.9469
09151001,Carahue,-38.7128,-73.1475
09153001,Puerto Saavedra,-38.7886,-73.3936
09400000,Rio Truful En Camino Internacional,-38.8444,-71.6536
09401001,Tricauco,-38.8506,-71.55
09402001,Rio Allipen En Melipeuco,-38.8653,-71.7336
09403001,Cunco,-38.9269,-72.0125
09404001,Rio Allipen En Los Laureles,-38.9833,-72.2333
09404002,Los Laureles,-38.9586,-72.2006
09405001,Rio Curaco En Colico,-39.0333,-72.0833
09412002,Curarrehue,-39.3581,-71.5744
09412003,Puesco (Aduana),-39.5192,-71.5478
09414002,Llafenco,-39.3314,-71.8083
09416002,Lago Tinquilco,-39.1667,-71.7231
09417001,Lago Caburgua,-39.2,-71.8089
09420002,Pucon,-39.2753,-71.9503
09420003,Villarrica,-39.215,-72.2917
09420004,Chanlelfu,-39.4875,-72.2339
09423001,Rio Tolten En Coipue,-39.1,-72.3833
09433003,Quitratue,-39.1506,-72.6503
09437002,Rio Tolten En Teodoro Schmidt,-39.0144,-73.0828
09438001,Teodoro Schmitd,-39.0278,-73.0781
09439001,Tolten,-39.2006,-73.2003
10100002,Rio Fui En Desage Lago Pirihueico,-39.8747,-71.8897
10100004,Pirihueico En Pirihueico,-40.0225,-71.7219
10100005,Pirihueico En Pto. Fuy,-39.8719,-71.8889
10102002,Liquie,-39.7272,-71.8506
10106001,Coaripe,-39.5744,-72.0053
10106002,Lago Calafquen,-39.5469,-72.1519
10106003,Lican-Ray,-39.4681,-72.1653
10111002,Lago Riihue,-39.7731,-72.4581
10122003,Rio Calle Calle En Pupunahue,-39.8044,-72.9025
10123004,Llancahue,-39.8561,-73.1786
10123006,Valdivia (U. Austral),-39.8103,-73.2517
10130001,Loncoche,-39.37,-72.6417
10133000,Rio Leufucade En Purulon,-39.4781,-72.6908
10134002,San Jose Mariquina,-39.5522,-72.8989
10137002,Huichaco,-39.7078,-72.7422
10141001,Catamutun,-40.1658,-73.1689
10304001,Rio Calcurrupe En Desembocadura,-40.25,-72.2667
10304002,Lago Maihue,-40.2172,-72.1492
10305002,Caunahue,-40.1592,-72.2528
10307001,Lago Ranco,-40.3172,-72.4692
10312001,El Llolly,-40.0672,-72.6169
10313001,Rio Llollelhue En La Union,-40.2667,-73.0833
10322002,Anticura,-40.6553,-72.1844
10323002,Futacuhuin,-40.7231,-72.44
10328001,Rio Pilmaiquen En San Pablo,-40.3842,-73.0022
10340001,Rio Rahue En Desague Lago Rupanco,-40.7889,-72.6889
10340002,Rupanco,-40.7733,-72.6839
10350001,Fresia,-41.1533,-73.4111
10355001,Purranque,-40.9367,-73.1372
10355003,Rio Forrahue En Rio Negro,-40.7956,-73.2144
10356001,Rio Negro En Chahuilco,-40.7136,-73.2278
10360002,Adolfo Matthei,-40.5883,-73.1069
10371001,Trinidad,-40.3142,-73.4333
10372001,Venecia,-40.1933,-73.4311
