codigo_estacion;nombre;latitud;longitud;comuna;provincia;region;pais
09120003;Malalcahuello;-38.4703;-71.5753;Curacautín;Malleco;Araucanía;Chile
09122001;Curacautin;-38.4475;-71.8961;Curacautín;Malleco;Araucanía;Chile
09123001;Rio Cautin En Rari-Ruca;-38.4303;-72.0106;Curacautín;Malleco;Araucanía;Chile
09123002;Rari-Ruca;-38.425;-72.0106;Curacautín;Malleco;Araucanía;Chile
09124001;Lautaro;-38.5186;-72.4522;Lautaro;Cautín Province;Araucania;Chile
09129002;Rio Cautin En Cajon;-38.6867;-72.5028;Temuco;Cautín;Araucanía;Chile
09129005;Pueblo Nuevo (Temuco);-38.7128;-72.5558;Temuco;Cautín;Araucanía;Chile
09129006;Temuco Centro;-38.7425;-72.59;Temuco;Cautín;Araucanía;Chile
09130001;Cherquenco;-38.6839;-72.0;Vilcún;Cautín;Araucanía;Chile
09131002;Vilcun;-38.6672;-72.2339;Vilcún;Cautín;Araucanía;Chile
09135003;Freire Sendos;-38.9592;-72.6083;Freire;Cautín;Araucanía;Chile
09140001;Rio Cautin En Almagro;-38.78;-72.9469;Nueva Imperial;Cautín Province;Araucania;Chile
09151001;Carahue;-38.7128;-73.1475;Carahue;Cautín;Araucanía;Chile
09153001;Puerto Saavedra;-38.7886;-73.3936;Saavedra;Cautín;Araucanía;Chile
09400000;Rio Truful En Camino Internacional;-38.8444;-71.6536;Melipeuco;Cautín;Araucanía;Chile
09401001;Tricauco;-38.8506;-71.55;Melipeuco;Cautín;Araucanía;Chile
09402001;Rio Allipen En Melipeuco;-38.8653;-71.7336;Melipeuco;Cautín;Araucanía;Chile
09403001;Cunco;-38.9269;-72.0125;Cunco;Cautín Province;Araucania;Chile
09404001;Rio Allipen En Los Laureles;-38.9833;-72.2333;Cunco;Cautín;Araucanía;Chile
09404002;Los Laureles;-38.9586;-72.2006;Cunco;Cautín;Araucanía;Chile
09405001;Rio Curaco En Colico;-39.0333;-72.0833;Cunco;Cautín;Araucanía;Chile
09412002;Curarrehue;-39.3581;-71.5744;Curarrehue;Cautín;Araucanía;Chile
09412003;Puesco (Aduana);-39.5192;-71.5478;Curarrehue;Cautín;Araucanía;Chile
09414002;Llafenco;-39.3314;-71.8083;Pucon;Cautín Province;Araucania;Chile
09416002;Lago Tinquilco;-39.1667;-71.7231;Pucon;Cautín Province;Araucania;Chile
09417001;Lago Caburgua;-39.2;-71.8089;Pucón;Cautín;Araucanía;Chile
09420002;Pucon;-39.2753;-71.9503;Pucón;Cautín;Araucanía;Chile
09420003;Villarrica;-39.215;-72.2917;Villarrica;Cautín Province;Araucania;Chile
09420004;Chanlelfu;-39.4875;-72.2339;Villarrica;Cautín Province;Araucania;Chile
09423001;Rio Tolten En Coipue;-39.1;-72.3833;Freire;Cautín;Araucanía;Chile
09433003;Quitratue;-39.1506;-72.6503;Gorbea;Cautín;Araucanía;Chile
09437002;Rio Tolten En Teodoro Schmidt;-39.0144;-73.0828;Toltén;Cautín Province;Araucania;Chile
09438001;Teodoro Schmitd;-39.0278;-73.0781;Toltén;Cautín Province;Araucania;Chile
09439001;Tolten;-39.2006;-73.2003;Toltén;Cautín Province;Araucania;Chile
10100002;Rio Fui En Desage Lago Pirihueico;-39.8747;-71.8897;Panguipulli;Valdivia Province;Los Ríos;Chile
10100004;Pirihueico En Pirihueico;-40.0225;-71.7219;Futrono;Ranco;Los Ríos;Chile
10100005;Pirihueico En Pto. Fuy;-39.8719;-71.8889;Panguipulli;Valdivia Province;Los Ríos;Chile
10102002;Liquie;-39.7272;-71.8506;Panguipulli;Valdivia;Los Ríos;Chile
10106001;Coaripe;-39.5744;-72.0053;Panguipulli;Valdivia Province;Los Ríos;Chile
10106002;Lago Calafquen;-39.5469;-72.1519;Panguipulli;Valdivia;Los Ríos;Chile
10106003;Lican-Ray;-39.4681;-72.1653;Villarrica;Cautín Province;Araucania;Chile
10111002;Lago Riihue;-39.7731;-72.4581;Panguipulli;Valdivia;Los Ríos;Chile
10122003;Rio Calle Calle En Pupunahue;-39.8044;-72.9025;Máfil;Valdivia;Los Ríos;Chile
10123004;Llancahue;-39.8561;-73.1786;Valdivia;Valdivia Province;Los Ríos;Chile
10123006;Valdivia (U. Austral);-39.8103;-73.2517;Valdivia;Valdivia;Los Ríos;Chile
10130001;Loncoche;-39.37;-72.6417;Loncoche;Cautín;Araucanía;Chile
10133000;Rio Leufucade En Purulon;-39.4781;-72.6908;Lanco;Valdivia;Los Ríos;Chile
10134002;San Jose Mariquina;-39.5522;-72.8989;Mariquina;Valdivia;Los Ríos;Chile
10137002;Huichaco;-39.7078;-72.7422;Máfil;Valdivia;Los Ríos;Chile
10141001;Catamutun;-40.1658;-73.1689;La Unión;El Ranco Province;Los Ríos;Chile
10304001;Rio Calcurrupe En Desembocadura;-40.25;-72.2667;Futrono;El Ranco Province;Los Ríos;Chile
10304002;Lago Maihue;-40.2172;-72.1492;Futrono;Ranco;Los Ríos;Chile
10305002;Caunahue;-40.1592;-72.2528;Futrono;Ranco;Los Ríos;Chile
10307001;Lago Ranco;-40.3172;-72.4692;Lago Ranco;El Ranco Province;Los Ríos;Chile
10312001;El Llolly;-40.0672;-72.6169;Paillaco;Valdivia;Los Ríos;Chile
10313001;Rio Llollelhue En La Union;-40.2667;-73.0833;La Unión;El Ranco Province;Los Ríos;Chile
10322002;Anticura;-40.6553;-72.1844;Río Bueno;Ranco;Los Ríos;Chile
10323002;Futacuhuin;-40.7231;-72.44;Puyehue;Osorno;Los Lagos;Chile
10328001;Rio Pilmaiquen En San Pablo;-40.3842;-73.0022;Río Bueno;Ranco;Los Ríos;Chile
10340001;Rio Rahue En Desague Lago Rupanco;-40.7889;-72.6889;Puyehue;Osorno;Los Lagos;Chile
10340002;Rupanco;-40.7733;-72.6839;Puyehue;Osorno;Los Lagos;Chile
10350001;Fresia;-41.1533;-73.4111;Fresia;Llanquihue Province;Los Lagos;Chile
10355001;Purranque;-40.9367;-73.1372;Purranque;Osorno;Los Lagos;Chile
10355003;Rio Forrahue En Rio Negro;-40.7956;-73.2144;Río Negro;Osorno;Los Lagos;Chile
10356001;Rio Negro En Chahuilco;-40.7136;-73.2278;Osorno;Osorno;Los Lagos;Chile
10360002;Adolfo Matthei;-40.5883;-73.1069;Osorno;Osorno Province;Los Lagos;Chile
10371001;Trinidad;-40.3142;-73.4333;San Juan de la Costa;Osorno;Los Lagos;Chile
10372001;Venecia;-40.1933;-73.4311;Corral;Valdivia;Los Ríos;Chile
10410004;Frutillar;-41.1267;-73.0611;Frutillar;Llanquihue;Los Lagos;Chile
10410015;Cascada;-41.0781;-72.6328;Puerto Octay;Osorno;Los Lagos;Chile
10417001;Maullin;-41.6153;-73.6;Maullín;Llanquihue;Los Lagos;Chile
10425001;Puerto Montt;-41.46;-72.9378;Puerto Montt;Llanquihue;Los Lagos;Chile
10430005;Lago Chapo (Lm);-41.4297;-72.5764;Puerto Montt;Llanquihue;Los Lagos;Chile
10512000;Llanada Grande;-41.4242;-71.9386;Cochamo;Llanquihue;Los Lagos;Chile
10520001;Rio Puelo En Desague Lago Tagua Tagua;-41.6389;-72.1694;Cochamo;Llanquihue;Los Lagos;Chile
10523001;Puelo;-41.6511;-72.3117;Cochamo;Llanquihue;Los Lagos;Chile
10610001;Hornopiren;-41.9383;-72.435;Hualaihué;Palena;Los Lagos;Chile
